ID,タイトル,著者,出版社,作成日,説明文
1,吾輩は猫である,夏目漱石,青空文庫,2025/01/05,名前のない飼い猫が、英語教師の家に住みつき、そこに集まる人間たちの言動を冷ややかに観察する。猫の視点から語られる会話や騒動を通して、明治の知識人の見栄や滑稽さが浮かび上がる。筋よりも脱線と諧謔を楽しむ長編小説。
2,坊っちゃん,夏目漱石,青空文庫,2025/01/18,江戸っ子気質の若い数学教師が、四国の中学校に赴任し、同僚や生徒たちとぶつかりながら奮闘する。曲がったことを見過ごせない主人公が、学校という狭い社会の駆け引きに巻き込まれていく。歯切れのよい語り口で描かれる青春の顛末。
3,こころ,夏目漱石,青空文庫,2025/02/02,学生である私が、鎌倉で出会った先生と親しくなり、その過去に潜む影に少しずつ近づいていく。友人への裏切りと、その罪を抱えて生き続けた男の告白が、遺された手紙によって明かされる。孤独と罪の意識を見つめた小説。
4,三四郎,夏目漱石,青空文庫,2025/02/20,熊本から上京した学生三四郎が、大学の講義や新しい友人たち、そして美禰子という女性に出会い、都会の空気に戸惑いながら成長していく。恋とも呼べない曖昧な感情と、自分の居場所を探す心細さが重ねて描かれる。
5,舞姫,森鴎外,青空文庫,2025/03/03,ドイツに留学した官吏の青年が、貧しい踊り子と心を通わせるが、帰国と立身の要求の前で選択を迫られる。異国での恋と、故国に対する義務との板挟みが、悔恨をにじませた文体で綴られる短編。
6,羅生門,芥川龍之介,青空文庫,2025/03/15,荒廃した都の羅生門で、行き場を失った下人が、死人の髪を抜く老婆と出会う。生きるためなら何をしてもよいのかという問いが、短い場面のなかで反転しながら突きつけられる。人間の悪と生存本能を描いた短編。
7,蜘蛛の糸,芥川龍之介,青空文庫,2025/03/28,地獄に落ちた大泥棒が、生前にただ一度だけ蜘蛛を助けた行いによって、細い糸を垂らされる。しかし他の罪人が糸を登ってくるのを見た彼は、それを追い払おうとする。自分だけが救われたい心を寓話として描いた短編。
8,藪の中,芥川龍之介,青空文庫,2025/04/08,山中で起きた武士の死をめぐり、盗人、妻、そして死者自身の語りが並べられるが、証言はことごとく食い違う。真相はどこにあるのかという疑いだけが残される。語りの信頼性そのものを揺るがせる短編。
9,銀河鉄道の夜,宮沢賢治,青空文庫,2025/04/22,貧しい少年ジョバンニが、祭りの夜に銀河を走る不思議な列車に乗り、親友カムパネルラとともに星々の駅を巡る。旅の途上で出会う人々の言葉を通して、本当の幸いとは何かという問いに近づいていく。死と別れを見つめた幻想的な物語。
10,注文の多い料理店,宮沢賢治,青空文庫,2025/05/06,山で狩りをする二人の紳士が、森の奥で立派な西洋料理店を見つけて足を踏み入れる。次々と出される奇妙な注文に従っていくうちに、自分たちが客ではないと気づく。自然を軽んじる人間への皮肉をきかせた童話。
11,学問のすすめ,福沢諭吉,青空文庫,2025/05/19,人は生まれながらに上下の別はなく、その差は学ぶかどうかで生じると説き、実学を身につけて独立することを勧める。個人の自立が国の独立につながるという主張を、平明な言葉で積み重ねた啓蒙の書。
12,善の研究,西田幾多郎,青空文庫,2025/06/01,主観と客観に分かれる以前の純粋経験を出発点に、実在と善のありかたを考え抜く。西洋哲学の枠組みを踏まえながら、独自の立場から人格の実現としての善を論じる。日本の近代哲学を代表する思索の書。
13,茶の本,岡倉天心,青空文庫,2025/06/14,茶の湯を切り口に、日本人の美意識や自然との向き合い方を西洋の読者に向けて説き明かす。不完全なものを尊ぶ心や、日常のなかに芸術を見いだす態度が、文明批評をまじえて語られる随筆。
14,一握の砂,石川啄木,青空文庫,2025/07/02,故郷への思い、貧しさ、働くことの疲れ、若さへの悔いが、三行書きの短歌に刻まれる。暮らしの手触りをそのまま歌に写し取った、日常語による生活詠の歌集。
15,みだれ髪,与謝野晶子,青空文庫,2025/07/16,若い女性の恋と肉体の歓びを、伝統的な短歌の作法を破る奔放な言葉で歌い上げる。自らの感情を隠さず解き放つ姿勢が、当時の歌壇に衝撃を与えた歌集。
16,智恵子抄,高村光太郎,青空文庫,2025/08/01,妻智恵子との出会いから、病を得て失われるまでの年月が、詩と短歌によってたどられる。愛する人を看取る過程の苦しさと、失った後に残る静けさが、率直な言葉で記される詩集。
17,走れメロス,太宰治,青空文庫,2025/08/20,友を人質に差し出し、約束の刻限までに戻ると誓った青年が、妨げを越えて走り続ける。一度は諦めかけた心の弱さも隠さずに描かれ、信じることの重さが問われる短編。
18,人間失格,太宰治,青空文庫,2025/09/05,道化を演じて人と接してきた男が、酒と女と薬に沈み、自分を人間の資格がない者として語る。手記の形で綴られる転落の記録のなかに、他人を恐れ続けた心の内側が晒される。
19,斜陽,太宰治,青空文庫,2025/09/18,没落した華族の娘かず子が、母の死と弟の破滅を見つめながら、それでも生きる道を選び取ろうとする。古い階級が崩れていく時代の空気と、恋に賭ける決意が重ねて描かれる。
20,野菊の墓,伊藤左千夫,青空文庫,2025/10/02,農村に暮らす少年と年上の従姉が、互いに寄せる淡い思いを周囲に許されないまま引き裂かれる。野菊に重ねられた面影と、取り返しのつかない別れが、静かな回想として語られる。
